FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
374320.595	375273.842	956.501	957.911	508.241	0.000	0.000	1.042	0.388	0.635	1.563	1.721	Adult115	data
375363.754	375587.057	226.639	464.502	837.613	0.000	0.000	1.042	0.289	0.215	1.001	0.824	Adult115	data
375610.449	376220.290	613.190	408.332	855.298	0.000	0.000	1.042	0.436	0.345	0.908	3.063	Adult115	data
376270.335	377450.118	1183.157	948.023	492.004	0.000	0.000	1.042	0.343	0.408	1.565	2.049	Adult115	data
377510.151	378196.687	689.893	1552.276	835.349	0.000	0.000	1.042	0.729	1.160	1.430	4.274	Adult115	data
378203.289	378383.346	183.312	1568.863	855.432	0.000	0.000	1.042	0.345	0.582	1.197	1.657	Adult115	data
378426.691	379413.109	989.787	964.689	506.665	0.000	0.000	1.042	0.341	0.353	1.134	2.165	Adult115	data
379469.871	379753.084	286.555	435.301	267.344	0.000	0.000	1.042	0.283	0.179	1.049	0.713	Adult115	data
379773.111	380293.023	523.266	403.909	257.657	0.000	0.000	1.042	0.271	0.151	0.694	0.775	Adult115	data
380372.985	381496.222	1126.485	964.105	490.988	0.000	0.000	1.042	0.373	0.474	1.290	1.647	Adult115	data
381549.522	381732.833	186.664	495.557	813.116	0.000	0.000	1.042	0.632	0.996	1.375	2.250	Adult115	data
381759.486	382306.048	549.919	428.742	853.463	0.000	0.000	1.042	0.317	0.253	0.974	1.597	Adult115	data
382366.065	382672.665	309.959	915.017	530.809	0.000	0.000	1.042	0.316	0.321	1.153	0.931	Adult115	data
382695.955	383405.893	713.296	962.242	495.111	0.000	0.000	1.042	0.330	0.363	1.403	1.392	Adult115	data
383455.859	383952.459	499.960	424.185	290.123	0.000	0.000	1.042	0.245	0.145	0.704	0.778	Adult115	data
383972.490	384399.037	429.900	409.673	254.077	0.000	0.000	1.042	0.252	0.134	0.735	0.747	Adult115	data
384445.723	384672.367	230.003	913.668	492.483	0.000	0.000	1.042	0.400	0.485	1.386	1.317	Adult115	data
384695.651	385425.532	733.232	980.973	505.748	0.000	0.000	1.042	0.379	0.297	1.185	1.804	Adult115	data
385475.588	385865.489	393.267	1565.392	820.737	0.000	0.000	1.042	0.633	0.999	1.359	3.085	Adult115	data
385882.184	386318.787	439.960	1581.579	852.949	0.000	0.000	1.042	0.245	0.274	1.012	1.161	Adult115	data
386398.739	386505.443	109.986	975.765	529.076	0.000	0.000	1.042	0.345	0.334	1.071	1.009	Adult115	data
386718.773	386778.702	63.268	941.271	545.903	1.000	0.263	1.042	0.288	0.581	0.628	1.848	Adult115	data
386788.759	387388.631	603.222	962.195	513.554	0.000	0.000	1.042	0.295	0.309	1.151	1.541	Adult115	data
387441.921	388285.132	846.565	1545.942	242.621	0.000	0.000	1.042	0.250	0.278	1.251	1.241	Adult115	data
388348.505	388518.488	173.231	953.885	474.848	0.000	0.000	1.042	0.345	0.241	0.769	1.173	Adult115	data
388541.780	389414.978	876.563	966.709	510.175	0.000	0.000	1.042	0.358	0.276	1.508	1.152	Adult115	data
